feature, score
geo_level_3_id, 0.15625625986201022
geo_level_2_id, 0.13645187521360747
geo_level_1_id, 0.134833298798972
age, 0.12538445535709947
area_percentage, 0.11471793550728833
height_percentage, 0.0562563522850491
count_families, 0.0245180707951331
count_floors_pre_eq, 0.01848377761939158
has_superstructure_mud_mortar_stone, 0.015109027805569742
land_surface_condition_1, 0.014984444324621515
foundation_type_2, 0.014392937021165222
has_superstructure_timber, 0.01233384643167089
ground_floor_type_2, 0.009998528244482587
has_superstructure_cement_mortar_brick, 0.009525598667109336
position_2, 0.008638283619773425
foundation_type_3, 0.008492394492444174
roof_type_1, 0.008067519934495646
has_superstructure_adobe_mud, 0.008042472661389799
position_1, 0.0077803011856359865
other_floor_type_1, 0.007560167448628034
roof_type_2, 0.0071556007676108575
ground_floor_type_3, 0.006998344399368306
has_secondary_use, 0.006850800536801064
has_superstructure_bamboo, 0.00674439190175175
other_floor_type_2, 0.006326451849586837
has_superstructure_mud_mortar_brick, 0.006102807529021976
has_superstructure_stone_flag, 0.005588282156912952
has_superstructure_rc_non_engineered, 0.005283460318078087
other_floor_type_0, 0.0052303424014888055
land_surface_condition_2, 0.004929671989823675
has_secondary_use_agriculture, 0.004437940268465415
plan_configuration_4, 0.004266816081502281
foundation_type_1, 0.004162078176312365
legal_ownership_status_1, 0.0036961612009950365
legal_ownership_status_2, 0.0035459945081213256
plan_configuration_2, 0.0035181504788762996
has_superstructure_other, 0.0034172768991346364
has_secondary_use_hotel, 0.003378203436692015
has_superstructure_rc_engineered, 0.0033302939978220453
has_superstructure_cement_mortar_stone, 0.0032408868038969717
plan_configuration_3, 0.0029592552743615244
legal_ownership_status_0, 0.0015909651174304572
has_secondary_use_rental, 0.001270389852167329
ground_floor_type_1, 0.0011782289038655656
has_secondary_use_other, 0.0010695263027474188
position_0, 0.0008725970731785229
has_secondary_use_industry, 0.00033314731831775253
plan_configuration_1, 0.0002380264497616878
has_secondary_use_institution, 0.00023134813680435873
has_secondary_use_school, 0.00010742454186749236
has_secondary_use_health_post, 5.131269948023454e-05
has_secondary_use_gov_office, 3.416521359537847e-05
has_secondary_use_use_police, 3.21101386220889e-05
land_surface_condition_0, 0.0
foundation_type_0, 0.0
roof_type_0, 0.0
ground_floor_type_0, 0.0
plan_configuration_0, 0.0